NXDOMAIN DATA

tappss.emart.com                                  mvno.emart.gtmc.hscdn.com.                        lookup mvno.emart.gtmc.hscdn.com.: no such host
ms.kr                                             ms.kr.                                            lookup ms.kr.: no such host
co.kr                                             co.kr.                                            lookup co.kr.: no such host
kg.kr                                             kg.kr.                                            lookup kg.kr.: no such host
ne.kr                                             ne.kr.                                            lookup ne.kr.: no such host
hs.kr                                             hs.kr.                                            lookup hs.kr.: no such host
go.kr                                             go.kr.                                            lookup go.kr.: no such host
sc.kr                                             sc.kr.                                            lookup sc.kr.: no such host
or.kr                                             or.kr.                                            lookup or.kr.: no such host
es.kr                                             es.kr.                                            lookup es.kr.: no such host


CNAME RECORD DATA

www.yunjac.com                                    yunjac.com.                                       202.3.20.229
jbedunet.com                                      HDRedirect-LB5-1afb6e2973825a56.elb.us-east-1.amazonaws.com.23.20.239.12
img.hoteljoin.com                                 hoteljoin.com.                                    69.16.230.42
cdn.devy.kr                                       kbqrshlphcmq775705.cdn.ntruss.com.                101.79.246.130
autodiscover.emartmall.com                        autodiscover.emartmall.com.                       202.3.23.181
mail2.istarbucks.co.kr                            mail2.istarbucks.co.kr.                           211.189.124.14
autodiscover.chosunhotel.co.kr                    autodiscover.chosunhotel.co.kr.                   112.171.14.21
autodiscover.emart.co.kr                          autodiscover.emart.co.kr.                         202.3.23.181
autodiscover.chosunhotelbakery.com                autodiscover.chosunhotelbakery.com.               112.171.14.21
www.istarbucks.co.kr                              www.istarbucks.co.kr.                             182.173.169.11
academy.istarbucks.co.kr                          academy.istarbucks.co.kr.                         202.3.20.89
owa.shinsegae.com                                 owa.shinsegae.com.                                112.171.14.22
webdev.istarbucks.co.kr                           webdev.istarbucks.co.kr.                          60.196.0.170
msr.istarbucks.co.kr                              msr.istarbucks.co.kr.                             182.173.169.21
partner.istarbucks.co.kr                          partner.istarbucks.co.kr.                         60.196.0.115
ssh.shinsegae.com                                 ssh.shinsegae.com.                                112.171.14.21
image.tourexpress.com                             tourexpress.swacc.skcdn.com.                      58.228.245.67
lms.istarbucks.co.kr                              lms.istarbucks.co.kr.                             202.3.20.62
cdn-mo.sivillage.com                              shinsegae.wacc.skcdn.com.                         222.239.240.19
image.sivillage.com                               shinsegae.wacc.skcdn.com.                         222.239.240.19
cdnfo.sivillage.com                               shinsegae.wacc.skcdn.com.                         222.239.240.19
cdn-fo.sivillage.com                              shinsegae.wacc.skcdn.com.                         222.239.240.19
dev-img.sivillage.com                             shinsegae.wacc.skcdn.com.                         222.239.240.19
cdnmo.sivillage.com                               shinsegae.wacc.skcdn.com.                         222.239.240.19
jbime.kr                                          jbime.kr.                                         211.210.30.141
receipt.istarbucks.co.kr                          receipt.istarbucks.co.kr.                         10.253.42.49
higlory.net                                       higlory.net.                                      211.210.30.142
image.tving.com                                   tving-cjimg.cdn.x-cdn.com.                        211.237.6.144
image.adidas.co.kr                                adidas.swacc.skcdn.com.                           222.239.240.19
imagebos.adidas.co.kr                             adidas.swacc.skcdn.com.                           222.239.240.19
imagem.adidas.co.kr                               adidas.swacc.skcdn.com.                           222.239.240.19
scm.istarbucks.co.kr                              scm.istarbucks.co.kr.                             210.92.198.190
gwsso.shinsegae.com                               gwsso.shinsegae.com.                              202.3.23.180
m4strssl.ebse.co.kr                               m4strssl.ebse.skcdn.com.                          58.229.187.2
ps1.istarbucks.co.kr                              ps1.istarbucks.co.kr.                             182.173.169.36
image.reebok.co.kr                                reebok.swacc.skcdn.com.                           58.228.245.67
imagem.reebok.co.kr                               reebok.swacc.skcdn.com.                           58.228.245.67
wmail.shinsegae.com                               wmail.shinsegae.com.                              112.171.14.21
