NXDOMAIN DATA

manager.paypal.com                                manager.payflow.edge.paypal.com.                  lookup manager.payflow.edge.paypal.com.: getaddrinfow: This is usually a temporary error during hostname resolution and means that the local server did not receive a response from an authoritative server.
payflowlink.paypal.com                            payflowlink.payflow.edge.paypal.com.              lookup payflowlink.payflow.edge.paypal.com.: getaddrinfow: This is usually a temporary error during hostname resolution and means that the local server did not receive a response from an authoritative server.
api.stage2d0039.stage.paypal.com                  cei3.stage.paypal.com.                            lookup cei3.stage.paypal.com.: no such host
www.stage2d0050.stage.paypal.com                  cei3.stage.paypal.com.                            lookup cei3.stage.paypal.com.: no such host
www.stage2p1972.stage.paypal.com                  cei3.stage.paypal.com.                            lookup cei3.stage.paypal.com.: no such host
www.stage2d0063.stage.paypal.com                  cei3.stage.paypal.com.                            lookup cei3.stage.paypal.com.: no such host
api.stage2d0035.stage.paypal.com                  cei3.stage.paypal.com.                            lookup cei3.stage.paypal.com.: no such host
www.stage2d0035.stage.paypal.com                  cei3.stage.paypal.com.                            lookup cei3.stage.paypal.com.: no such host
api.stage2p2463.stage.paypal.com                  cei3.stage.paypal.com.                            lookup cei3.stage.paypal.com.: no such host
www.stage2p2463.stage.paypal.com                  cei3.stage.paypal.com.                            lookup cei3.stage.paypal.com.: no such host
api.stage2p1191.stage.paypal.com                  cei3.stage.paypal.com.                            lookup cei3.stage.paypal.com.: no such host
api.stage2d0045.stage.paypal.com                  cei3.stage.paypal.com.                            lookup cei3.stage.paypal.com.: no such host
www.stage2p1191.stage.paypal.com                  cei3.stage.paypal.com.                            lookup cei3.stage.paypal.com.: no such host
api.stage2d0070.stage.paypal.com                  cei3.stage.paypal.com.                            lookup cei3.stage.paypal.com.: no such host
www.stage2d0070.stage.paypal.com                  cei3.stage.paypal.com.                            lookup cei3.stage.paypal.com.: no such host
api.stage2d0041.stage.paypal.com                  cei3.stage.paypal.com.                            lookup cei3.stage.paypal.com.: no such host
www.stage2d0041.stage.paypal.com                  cei3.stage.paypal.com.                            lookup cei3.stage.paypal.com.: no such host
api.stage2std041.stage.paypal.com                 cei3.stage.paypal.com.                            lookup cei3.stage.paypal.com.: no such host
www.stage2std041.stage.paypal.com                 cei3.stage.paypal.com.                            lookup cei3.stage.paypal.com.: no such host
api.stage2d0061.stage.paypal.com                  cei3.stage.paypal.com.                            lookup cei3.stage.paypal.com.: no such host
api.stage2d0051.stage.paypal.com                  cei3.stage.paypal.com.                            lookup cei3.stage.paypal.com.: no such host
www.stage2m024.stage.paypal.com                   cei3.stage.paypal.com.                            lookup cei3.stage.paypal.com.: no such host
www.stage2d0034.stage.paypal.com                  cei3.stage.paypal.com.                            lookup cei3.stage.paypal.com.: no such host
api.stage2std034.stage.paypal.com                 cei3.stage.paypal.com.                            lookup cei3.stage.paypal.com.: no such host
www.stage2std034.stage.paypal.com                 cei3.stage.paypal.com.                            lookup cei3.stage.paypal.com.: no such host
www.stage2d0064.stage.paypal.com                  cei3.stage.paypal.com.                            lookup cei3.stage.paypal.com.: no such host
api.stage2d0034.stage.paypal.com                  cei3.stage.paypal.com.                            lookup cei3.stage.paypal.com.: no such host
api.stage2md005.stage.paypal.com                  cei3.stage.paypal.com.                            lookup cei3.stage.paypal.com.: no such host
www.stage2d0042.stage.paypal.com                  cei3.stage.paypal.com.                            lookup cei3.stage.paypal.com.: no such host
www.stage2md005.stage.paypal.com                  cei3.stage.paypal.com.                            lookup cei3.stage.paypal.com.: no such host
api.stage2d0044.stage.paypal.com                  cei3.stage.paypal.com.                            lookup cei3.stage.paypal.com.: no such host
www.stage2d0044.stage.paypal.com                  cei3.stage.paypal.com.                            lookup cei3.stage.paypal.com.: no such host
www.stage2md012.stage.paypal.com                  cei3.stage.paypal.com.                            lookup cei3.stage.paypal.com.: no such host
api.stage2md012.stage.paypal.com                  cei3.stage.paypal.com.                            lookup cei3.stage.paypal.com.: no such host
www.stage2d0061.stage.paypal.com                  cei3.stage.paypal.com.                            lookup cei3.stage.paypal.com.: no such host
api.stage2d0064.stage.paypal.com                  cei3.stage.paypal.com.                            lookup cei3.stage.paypal.com.: no such host
api.stage2d0038.stage.paypal.com                  cei3.stage.paypal.com.                            lookup cei3.stage.paypal.com.: no such host
www.stage2d0038.stage.paypal.com                  cei3.stage.paypal.com.                            lookup cei3.stage.paypal.com.: no such host
www.stage2d0069.stage.paypal.com                  cei3.stage.paypal.com.                            lookup cei3.stage.paypal.com.: no such host
www.stage2d0048.stage.paypal.com                  cei3.stage.paypal.com.                            lookup cei3.stage.paypal.com.: no such host
api.stage2d0048.stage.paypal.com                  cei3.stage.paypal.com.                            lookup cei3.stage.paypal.com.: no such host
www.stage2p2308.stage.paypal.com                  cei3.stage.paypal.com.                            lookup cei3.stage.paypal.com.: no such host
api.stage2d0068.stage.paypal.com                  cei3.stage.paypal.com.                            lookup cei3.stage.paypal.com.: no such host
api.stage2p6599.stage.paypal.com                  cei3.stage.paypal.com.                            lookup cei3.stage.paypal.com.: no such host
www.stage2p6599.stage.paypal.com                  cei3.stage.paypal.com.                            lookup cei3.stage.paypal.com.: no such host
www.stage2d0068.stage.paypal.com                  cei3.stage.paypal.com.                            lookup cei3.stage.paypal.com.: no such host
api.stage2d0037.stage.paypal.com                  cei3.stage.paypal.com.                            lookup cei3.stage.paypal.com.: no such host
api.stage2d0069.stage.paypal.com                  cei3.stage.paypal.com.                            lookup cei3.stage.paypal.com.: no such host
api.stage2p2308.stage.paypal.com                  cei3.stage.paypal.com.                            lookup cei3.stage.paypal.com.: no such host
www.stage2d0037.stage.paypal.com                  cei3.stage.paypal.com.                            lookup cei3.stage.paypal.com.: no such host
www.stage2md028.stage.paypal.com                  cei3.stage.paypal.com.                            lookup cei3.stage.paypal.com.: no such host
api.stage2p6237.stage.paypal.com                  cei3.stage.paypal.com.                            lookup cei3.stage.paypal.com.: no such host
www.stage2p6237.stage.paypal.com                  cei3.stage.paypal.com.                            lookup cei3.stage.paypal.com.: no such host
www.stage2p6598.stage.paypal.com                  cei3.stage.paypal.com.                            lookup cei3.stage.paypal.com.: no such host
www.stage2md047.stage.paypal.com                  cei3.stage.paypal.com.                            lookup cei3.stage.paypal.com.: no such host
api.stage2p6598.stage.paypal.com                  cei3.stage.paypal.com.                            lookup cei3.stage.paypal.com.: no such host
api.stage2d0049.stage.paypal.com                  cei3.stage.paypal.com.                            lookup cei3.stage.paypal.com.: no such host
api.stage2md047.stage.paypal.com                  cei3.stage.paypal.com.                            lookup cei3.stage.paypal.com.: no such host
api.stage2md028.stage.paypal.com                  cei3.stage.paypal.com.                            lookup cei3.stage.paypal.com.: no such host
www.stage2d0039.stage.paypal.com                  cei3.stage.paypal.com.                            lookup cei3.stage.paypal.com.: no such host
test10.stage.paypal.com                           www.test10.stage.paypal.com.                      lookup www.test10.stage.paypal.com.: no such host
www.stage2std049.stage.paypal.com                 cei4.stage.paypal.com.                            lookup cei4.stage.paypal.com.: no such host
api.stage2ms052.stage.paypal.com                  cei4.stage.paypal.com.                            lookup cei4.stage.paypal.com.: no such host
api.stage2mb032.stage.paypal.com                  cei4.stage.paypal.com.                            lookup cei4.stage.paypal.com.: no such host
api.stage2std054.stage.paypal.com                 cei4.stage.paypal.com.                            lookup cei4.stage.paypal.com.: no such host
