NXDOMAIN DATA

www.frappuccino.ie                                sbloadbalancer-624515223.us-east-1.elb.amazonaws.com.lookup sbloadbalancer-624515223.us-east-1.elb.amazonaws.com.: no such host
blonde.starbucks.ca                               wintercanada-1762569678.us-east-1.elb.amazonaws.com.lookup wintercanada-1762569678.us-east-1.elb.amazonaws.com.: no such host
www.frappuccino.fr                                sbloadbalancer-624515223.us-east-1.elb.amazonaws.com.lookup sbloadbalancer-624515223.us-east-1.elb.amazonaws.com.: no such host
Store.Starbucks.com                               Store.Starbucks.com.                              lookup Store.Starbucks.com.: no such host
store.starbucks.com                               store.starbucks.com.                              lookup store.starbucks.com.: no such host
www.frappuccino.co.kr                             sbloadbalancer-624515223.us-east-1.elb.amazonaws.com.lookup sbloadbalancer-624515223.us-east-1.elb.amazonaws.com.: no such host
rekindle.starbucks.com                            rekindle.starbucks.com.                           lookup rekindle.starbucks.com.: no such host
rekindle.starbucks.ca                             rekindle.starbucks.ca.                            lookup rekindle.starbucks.ca.: no such host
stars.starbucks.ca                                swift.postclickmarketing.com.                     lookup swift.postclickmarketing.com.: no such host
test.starbucks.com                                test.starbucks.com.                               lookup test.starbucks.com.: no such host
test.starbucks.co.uk                              testintl.starbucks.com.                           lookup testintl.starbucks.com.: no such host
www.frappuccino.ru                                sbloadbalancer-624515223.us-east-1.elb.amazonaws.com.lookup sbloadbalancer-624515223.us-east-1.elb.amazonaws.com.: no such host
www.frappuccino.nl                                sbloadbalancer-624515223.us-east-1.elb.amazonaws.com.lookup sbloadbalancer-624515223.us-east-1.elb.amazonaws.com.: no such host
www.frappuccino.mx                                sbloadbalancer-624515223.us-east-1.elb.amazonaws.com.lookup sbloadbalancer-624515223.us-east-1.elb.amazonaws.com.: no such host
www.frappuccino.co.uk                             sbloadbalancer-624515223.us-east-1.elb.amazonaws.com.lookup sbloadbalancer-624515223.us-east-1.elb.amazonaws.com.: no such host
www.frappuccino.com.tw                            sbloadbalancer-624515223.us-east-1.elb.amazonaws.com.lookup sbloadbalancer-624515223.us-east-1.elb.amazonaws.com.: no such host
