NXDOMAIN DATA

test.starbucks.co.uk                              testintl.starbucks.com.                           lookup testintl.starbucks.com.: no such host
test.starbucks.com                                test.starbucks.com.                               lookup test.starbucks.com.: no such host


CNAME RECORD DATA

secureui.starbucks.com.br                         globalsecureui.starbucks.com.                     98.99.252.122
loadsecureui.starbucks.ie                         loadglobalsecureui.starbucks.com.                 98.99.248.158
loadsecureui.starbucks.com.br                     loadglobalsecureui.starbucks.com.                 98.99.248.158
stagesecureui.starbucks.ca                        stageglobalsecureui.starbucks.com.                98.99.252.192
loadsecureui.starbucks.fr                         loadglobalsecureui.starbucks.com.                 98.99.248.158
secureui.starbucks.co.uk                          globalsecureui.starbucks.com.                     98.99.252.122
secureui.starbucks.ie                             globalsecureui.starbucks.com.                     98.99.252.122
secureui.starbucks.de                             globalsecureui.starbucks.com.                     98.99.252.122
secureui.starbucks.fr                             globalsecureui.starbucks.com.                     98.99.252.122
secureui.starbucks.ca                             globalsecureui.starbucks.com.                     98.99.252.122
stagesecureui.starbucks.co.uk                     stageglobalsecureui.starbucks.com.                98.99.252.192
loadsecureui.starbucks.co.uk                      loadglobalsecureui.starbucks.com.                 98.99.248.158
stagesecureui.starbucks.de                        stageglobalsecureui.starbucks.com.                98.99.252.192
testares.starbucks.com                            testwww.starbucks.com.                            107.162.133.207
loadsecureui.starbucks.de                         loadglobalsecureui.starbucks.com.                 98.99.248.158
loadsecureui.starbucks.ca                         loadglobalsecureui.starbucks.com.                 98.99.248.158
www.starbucks.nl                                  sdlwww.starbucks.com.edgekey.net.                 184.84.99.213
testatde.starbucks.com                            testwww.starbucks.com.                            107.162.133.207
stagesecureui.starbucks.com                       stagesecureui-iad.starbucks.com.                  98.99.252.44
testsecureui.starbucks.ca                         testglobalsecureui.starbucks.com.                 98.99.254.191
testaten.starbucks.com                            testwww.starbucks.com.                            107.162.133.207
testsecureui.starbucks.co.uk                      testglobalsecureui.starbucks.com.                 98.99.254.191
testsecureui.starbucks.ie                         testglobalsecureui.starbucks.com.                 98.99.254.191
testbgbg.starbucks.com                            testwww.starbucks.com.                            107.162.133.207
testsecureui.starbucks.de                         testglobalsecureui.starbucks.com.                 98.99.254.191
testsecureui.starbucks.fr                         testglobalsecureui.starbucks.com.                 98.99.254.191
testsecureuifr.starbucks.ca                       testglobalsecureui.starbucks.com.                 98.99.254.191
testbnen.starbucks.com                            testwww.starbucks.com.                            107.162.133.207
testcaen.starbucks.com                            testwww.starbucks.com.                            107.162.133.207
testcafr.starbucks.com                            testwww.starbucks.com.                            107.162.133.207
testchde.starbucks.com                            testwww.starbucks.com.                            107.162.133.207
testbrpt.starbucks.com                            testwww.starbucks.com.                            107.162.133.207
