NXDOMAIN DATA

de.twitter.com                                    de.twitter.com.                                   lookup de.twitter.com.: no such host
access.twitter.com                                access.twitter.com.                               lookup access.twitter.com.: no such host
twvid.com                                         twvid.com.                                        lookup twvid.com.: no such host
_thirdparty.twitter.com                           _thirdparty.twitter.com.                          lookup _thirdparty.twitter.com.: no such host
e.twitter.com                                     e.twitter.com.                                    lookup e.twitter.com.: no such host
twimg.com                                         twimg.com.                                        lookup twimg.com.: no such host
partnerstream1.twitter.com                        partnerstream1.twitter.com.                       lookup partnerstream1.twitter.com.: no such host
staging2-partnerstream1.twitter.com               partnerstream1.twitter.com.                       lookup partnerstream1.twitter.com.: no such host


CNAME RECORD DATA

p.twimg.com                                       wildcard.twimg.com.                               151.101.8.159
platform.twitter.com                              cs472.wac.edgecastcdn.net.                        192.229.237.25
www.twitter.com                                   twitter.com.                                      104.244.42.1
cdn.syndication.twitter.com                       syndication.twitter.com.                          104.244.42.200
ton.twitter.com                                   ton.twitter.com.                                  104.244.42.84
tweetdeck.twitter.com                             td.twitter.com.                                   104.244.42.68
status.twitter.com                                cs322.wac.edgecastcdn.net.                        192.229.237.154
assets0.twitter.com                               static.twitter.com.                               104.244.42.3
assets2.twitter.com                               static.twitter.com.                               104.244.42.3
skyboxing.twitter.com                             s.twitter.com.                                    104.244.42.131
ces.twitter.com                                   s.twitter.com.                                    104.244.42.131
rally.twitter.com                                 s.twitter.com.                                    104.244.42.131
groups.twitter.com                                s.twitter.com.                                    104.244.42.131
nwhl.twitter.com                                  s.twitter.com.                                    104.244.42.131
discovery.twitter.com                             s.twitter.com.                                    104.244.42.131
vmas.twitter.com                                  s.twitter.com.                                    104.244.42.131
e3.twitter.com                                    s.twitter.com.                                    104.244.42.131
gov.twitter.com                                   s.twitter.com.                                    104.244.42.131
laliga.twitter.com                                s.twitter.com.                                    104.244.42.131
www.debates.twitter.com                           s.twitter.com.                                    104.244.42.131
forzarc.twitter.com                               s.twitter.com.                                    104.244.42.131
translate.twitter.com                             s.twitter.com.                                    104.244.42.131
birdseye-beta.twitter.com                         s.twitter.com.                                    104.244.42.131
search.twitter.com                                s.twitter.com.                                    104.244.42.131
billboard.twitter.com                             s.twitter.com.                                    104.244.42.131
blog.ru.twitter.com                               s.twitter.com.                                    104.244.42.131
zedd.twitter.com                                  s.twitter.com.                                    104.244.42.131
momentmaker.twitter.com                           s.twitter.com.                                    104.244.42.131
ads.twitter.com                                   s.twitter.com.                                    104.244.42.131
ms3.twitter.com                                   s.twitter.com.                                    104.244.42.131
vast.twitter.com                                  s.twitter.com.                                    104.244.42.131
nike.twitter.com                                  s.twitter.com.                                    104.244.42.131
pulse.twitter.com                                 s.twitter.com.                                    104.244.42.131
train.twitter.com                                 s.twitter.com.                                    104.244.42.131
2012.twitter.com                                  s.twitter.com.                                    104.244.42.131
upload.twitter.com                                upload.twitter.com.                               104.244.42.75
tinteractive.twitter.com                          s.twitter.com.                                    104.244.42.131
cards-dev.twitter.com                             s.twitter.com.                                    104.244.42.131
2014.twitter.com                                  s.twitter.com.                                    104.244.42.131
sms-be-vip.twitter.com                            s.twitter.com.                                    104.244.42.131
mmafighting.twitter.com                           s.twitter.com.                                    104.244.42.131
brandhub.twitter.com                              s.twitter.com.                                    104.244.42.131
buzzfeed.twitter.com                              s.twitter.com.                                    104.244.42.131
developer.twitter.com                             s.twitter.com.                                    104.244.42.131
partners.twitter.com                              s.twitter.com.                                    104.244.42.131
flightschool.twitter.com                          s.twitter.com.                                    104.244.42.131
euro2012.twitter.com                              s.twitter.com.                                    104.244.42.131
gnip-api.twitter.com                              s.twitter.com.                                    104.244.42.131
hope140.twitter.com                               s.twitter.com.                                    104.244.42.131
askobama.twitter.com                              s.twitter.com.                                    104.244.42.131
engineering.twitter.com                           s.twitter.com.                                    104.244.42.131
partners-staging.twitter.com                      s.twitter.com.                                    104.244.42.131
afl.twitter.com                                   s.twitter.com.                                    104.244.42.131
happening.twitter.com                             s.twitter.com.                                    104.244.42.131
comicon.twitter.com                               s.twitter.com.                                    104.244.42.131
fashionweekmi.twitter.com                         s.twitter.com.                                    104.244.42.131
business-staging.twitter.com                      s.twitter.com.                                    104.244.42.131
lnb.twitter.com                                   s.twitter.com.                                    104.244.42.131
mit-election.twitter.com                          s.twitter.com.                                    104.244.42.131
wimbledon.twitter.com                             s.twitter.com.                                    104.244.42.131
ukelection.twitter.com                            s.twitter.com.                                    104.244.42.131
showtimeboxing.twitter.com                        s.twitter.com.                                    104.244.42.131
ifl.twitter.com                                   s.twitter.com.                                    104.244.42.131
melbournecup.twitter.com                          s.twitter.com.                                    104.244.42.131
pbs.twitter.com                                   s.twitter.com.                                    104.244.42.131
blog.twitter.com                                  s.twitter.com.                                    104.244.42.131
bullriding.twitter.com                            s.twitter.com.                                    104.244.42.131
chirp.twitter.com                                 s.twitter.com.                                    104.244.42.131
lol.twitter.com                                   s.twitter.com.                                    104.244.42.131
biz.twitter.com                                   s.twitter.com.                                    104.244.42.131
discover.twitter.com                              s.twitter.com.                                    104.244.42.131
faith.twitter.com                                 s.twitter.com.                                    104.244.42.131
nascar.twitter.com                                s.twitter.com.                                    104.244.42.131
data.twitter.com                                  s.twitter.com.                                    104.244.42.131
jobs.twitter.com                                  s.twitter.com.                                    104.244.42.131
ijf.twitter.com                                   s.twitter.com.                                    104.244.42.131
ms2.twitter.com                                   s.twitter.com.                                    104.244.42.131
nhl.twitter.com                                   s.twitter.com.                                    104.244.42.131
blog.kr.twitter.com                               s.twitter.com.                                    104.244.42.131
bet.twitter.com                                   s.twitter.com.                                    104.244.42.131
sambee.twitter.com                                s.twitter.com.                                    104.244.42.131
ads-beta.twitter.com                              s.twitter.com.                                    104.244.42.131
aboveandbeyond.twitter.com                        s.twitter.com.                                    104.244.42.131
vivelatino.twitter.com                            s.twitter.com.                                    104.244.42.131
depechemode.twitter.com                           s.twitter.com.                                    104.244.42.131
dreamforce.twitter.com                            s.twitter.com.                                    104.244.42.131
6nations.twitter.com                              s.twitter.com.                                    104.244.42.131
calendar.twitter.com                              s.twitter.com.                                    104.244.42.131
tv-api.twitter.com                                s.twitter.com.                                    104.244.42.131
investor.twitter.com                              s.twitter.com.                                    104.244.42.131
globalcitizenfestival.twitter.com                 s.twitter.com.                                    104.244.42.131
publisher.twitter.com                             s.twitter.com.                                    104.244.42.131
bloombergtechnology.twitter.com                   s.twitter.com.                                    104.244.42.131
cards.twitter.com                                 s.twitter.com.                                    104.244.42.131
birdseye.twitter.com                              s.twitter.com.                                    104.244.42.131
eclipse2017.twitter.com                           s.twitter.com.                                    104.244.42.131
wnba.twitter.com                                  s.twitter.com.                                    104.244.42.131
sdcc.twitter.com                                  s.twitter.com.                                    104.244.42.131
globalcitizen.twitter.com                         s.twitter.com.                                    104.244.42.131
zacbrown.twitter.com                              s.twitter.com.                                    104.244.42.131
partners-api.twitter.com                          s.twitter.com.                                    104.244.42.131
ms4.twitter.com                                   s.twitter.com.                                    104.244.42.131
cfl.twitter.com                                   s.twitter.com.                                    104.244.42.131
sms.twitter.com                                   s.twitter.com.                                    104.244.42.131
wwe.twitter.com                                   s.twitter.com.                                    104.244.42.131
pbr.twitter.com                                   s.twitter.com.                                    104.244.42.131
