sts-vis-cloud3.starbucks.com          sts-vis-cloud3.gtm.starbucks.com
sts-vis-dev-cloud3.starbucks.com          sts-vis-dev-cloud3.gtm.starbucks.com
mrs4.starbucks.com          activesync.gtm.starbucks.com
sts-vis-cert0.starbucks.com          sts-vis-cert0.gtm.starbucks.com
bomgaratlas01.starbucks.com          s00151ppipbomatl01.westus.cloudapp.azure.com
certcrmpospa1.starbucks.com          certcrmpospa1-starbucks.nssb-oracle.com
sts-vis-cloud1.starbucks.com          sts-vis-cloud1.gtm.starbucks.com
sts-vis-dev1.starbucks.com          sts-vis-dev1-iad.starbucks.com
sts-vis-dev2.starbucks.com          sts-vis-dev2-iad.starbucks.com
certpospa1.starbucks.com          bigip-certpospa1-starbucks.oracle.com
sts-vis-dev4.starbucks.com          sts-vis-dev4-iad.starbucks.com
sts-vis-cloud4.starbucks.com          sts-vis-cloud4.gtm.starbucks.com
sts-vis-cert-cloud2.starbucks.com          sts-vis-cert-cloud2.gtm.starbucks.com
sts-vis0.starbucks.com          sts-vis0.gtm.starbucks.com
sts-vis-dev3.starbucks.com          sts-vis-dev3-iad.starbucks.com
testacme2.starbucks.com          testacme.starbucks.com
bomgaratlas03.starbucks.com          s00151ppipbomatlas.eastus.cloudapp.azure.com
search-ec3.starbucks.com          partner-hub-test-vs-iad-ec3.starbucks.com
cert-communities-ec3.starbucks.com          partner-hub-cert-vs-iad.starbucks.com
prodcrmpospa2.starbucks.com          prodcrmpospa2-starbucks.nssb-oracle.com
sts-vis-cloud2.starbucks.com          sts-vis-cloud2.gtm.starbucks.com
sts-vis1.starbucks.com          sts-vis1-iad.starbucks.com
mobility4.starbucks.com          mobility4.gtm.starbucks.com
sts-vis-cert1.starbucks.com          sts-vis-cert1-iad.starbucks.com
owa-ec3.starbucks.com          partner-hub-test-vs-iad-ec3.starbucks.com
cert-mysite-ec3.starbucks.com          partner-hub-cert-vs-iad.starbucks.com
produpgpospa2.starbucks.com          bigip-produpgpospa2-starbucks.oracle.com
sts-vis-cert3.starbucks.com          sts-vis-cert3-iad.starbucks.com
retailselfservice.starbucks.com          kdretail-a-v9.starbucks.com
communities-ec3.starbucks.com          partner-hub-test-vs-iad-ec3.starbucks.com
cert-departments-ec3.starbucks.com          partner-hub-cert-vs-iad.starbucks.com
sts-vis-cert2.starbucks.com          sts-vis-cert2-iad.starbucks.com
partner-ec3.starbucks.com          partner-hub-test-vs-iad-ec3.starbucks.com
testnonb.starbucks.com          testwww.starbucks.com
sts-vis-dev-cloud2.starbucks.com          sts-vis-dev-cloud2.gtm.starbucks.com
jsslab.starbucks.com          jsslab-starbucks.trafficmanager.net
pd.spc.starbucks.com          sbux-eapi-dev-develop.apigee.net
wfmnapimpc.starbucks.com          s00149tmppcpim.trafficmanager.net
spc.starbucks.com          sbux-production-ucp-prod.apigee.net
wfmnaptnpc.starbucks.com          s00149tmppcptn.trafficmanager.net
retail-ec3.starbucks.com          partner-hub-test-vs-iad-ec3.starbucks.com
prodpospa1.starbucks.com          bigip-prodpospa1-starbucks.oracle.com
testus5.starbucks.com          testwww.starbucks.com
sts-vis-cert-cloud3.starbucks.com          sts-vis-cert-cloud3.gtm.starbucks.com
test19.openapi.starbucks.com          sbux-oapi-dev-cicd.apigee.net
p01.productioncontroller-lb.starbucks.com          sbp01.westus.cloudapp.azure.com
wfmnapaypc.starbucks.com          s00149tmppcpay.trafficmanager.net
sts-vis-main.starbucks.com          sts-vis-main.gtm.starbucks.com
beta.starbucks.com          wwwstage.starbucks.com
prod00.mfa.starbucks.com          s00294ppipmfa00.eastus.cloudapp.azure.com
wfmnapospc.starbucks.com          s00149tmppcpos.trafficmanager.net
globalwcmsvcs2.starbucks.com          globalwcmsvcs.starbucks.com
teams-ec3.starbucks.com          partner-hub-test-vs-iad-ec3.starbucks.com
sts-vis-dev0.starbucks.com          sts-vis-dev0.gtm.starbucks.com
testwww2.starbucks.com          testwww.starbucks.com
wwwb.starbucks.com          starbucks.com
cashmgmt-prod.starbucks.com          cashmgmt-prod-iad.starbucks.com
testusen-chd.starbucks.com          testwww-chd.starbucks.com
appcafe.starbucks.com          appcafe.gtm.starbucks.com
f.e.starbucks.com          f.e.starbucks.com.akamaized.net
passport.starbucks.com          ssl.cdn.passport.starbucks.com.c.footprint.net
certpospa2.starbucks.com          bigip-certpospa2-starbucks.oracle.com
customerservice.starbucks.com          starbucksweb.custhelp.com
creative.starbucks.com          d2wqy52lo89wsl.cloudfront.net
investor.starbucks.com          webfarm-50.q4web.com
testcdhapps-oid.starbucks.com          bigip-testcdhapps-oid-starbucks.oracle.com
explore.starbucks.com          swift.postclickmarketing.com
test15.openapi.starbucks.com          sbux-oapi-dev-develop.apigee.net
orderingprofile.starbucks.com          ordering-prod-a-profile.starbucks.com
cpath.starbucks.com          cpath.gtm.starbucks.com
secureui2.starbucks.com          secureui.starbucks.com
prodcrmapps-oid.starbucks.com          bigip-prodcrmapps-oid-starbucks.oracle.com
cdx-sd.starbucks.com          sbux-integration-cdx-stable.apigee.net
stageatde.starbucks.com          globalstage.starbucks.com
ipm.starbucks.com          ipm-chd.starbucks.com
test2api.starbucks.com          test2-iad.starbucks.com
id.starbucks.com          id.gtm.starbucks.com
www-chd.starbucks.com          chd.starbucks.com
certltyupg.starbucks.com          bigip-certltyupg-starbucks.oracle.com
devcdhapps-oid.starbucks.com          bigip-devcdhapps-oid-starbucks.oracle.com
testchde.starbucks.com          testwww.starbucks.com
stagefrfrstore.starbucks.com          starbucks-staging.onelink-translations.com
testukstore.starbucks.com          testukstore.starbucks.com.cdn.cloudflare.net
1912pike.starbucks.com          1912pike.com
test5acme.starbucks.com          test5-iad.starbucks.com
outlook.starbucks.com          outlook-iad.starbucks.com
sso-group0.starbucks.com          sso-group0-iad.starbucks.com
testatde.starbucks.com          testwww.starbucks.com
pro-asp-api.starbucks.com          fd-pips-prod.azurefd.net
preview.starbucks.com          starbuckssites.starbucks.com.edgekey.net
eapi.starbucks.com          sbux-production-eapi-prod.apigee.net
test3acme.starbucks.com          test3-iad.starbucks.com
www.me.starbucks.com          me.starbucks.com
wifi.starbucks.com          d2r4ws0dmq227b.cloudfront.net
test11.openapi.starbucks.com          sbux-oapi-dev-develop.apigee.net
