NXDOMAINS DATA 
spectrum-pd.starbucks.com                                 spectrum-pd.vpc.starbucks.net
certupgpospa2.starbucks.com                                 bigip-certupgpospa2-starbucks.oracle.com
devbi.starbucks.com                                 bigip-devbi-starbucks.oracle.com
certupgpospa1.starbucks.com                                 bigip-certupgpospa1-starbucks.oracle.com
tstcrmapps.starbucks.com                                 tstcrmapps-starbucks.nssb-oracle.com
wfmnaptnpc.starbucks.com                                 s00149tmppcptn.trafficmanager.net
bi-gis-cert.starbucks.com                                 bi-gis.starbucks.com
prodcrmapps.starbucks.com                                 prodcrmapps-starbucks.nssb-oracle.com
ct.spc.starbucks.com                                 sbux-production-ucp-master.apigee.net
trace-psdev.starbucks.com                                 s00174atww2twsps.trafficmanager.net
lstech-asp-sd.starbucks.com                                 lstech-asp-sd.vpc.starbucks.net
sco-asp-sd.starbucks.com                                 sco-asp-sd.vpc.starbucks.net
lstech-asp-pd.starbucks.com                                 lstech-asp-pd.vpc.starbucks.net
CNAME RECORDS DATA 
prodcrmpospa1.starbucks.com                                 prodcrmpospa1-starbucks.nssb-oracle.com                                 IP144.23.238.236
mobility4.starbucks.com                                 mobility4.gtm.starbucks.com                                 IP120.136.132.25
devltycrmapps.starbucks.com                                 bigip-devltycrmapps-starbucks.oracle.com                                 IP148.87.129.11
wfmnapimdv.starbucks.com                                 s00149tmpdvpim.trafficmanager.net                                 IP40.86.96.177
certpospa1.starbucks.com                                 bigip-certpospa1-starbucks.oracle.com                                 IP148.87.218.50
prodcrmpospa2.starbucks.com                                 prodcrmpospa2-starbucks.nssb-oracle.com                                 IP144.23.238.237
stagesecurehost.openapi.starbucks.com                                 stagesecurehost-iad.openapi.starbucks.com                                 IP98.99.252.45
wfmnapimst.starbucks.com                                 s00149tmpstpim.trafficmanager.net                                 IP40.86.86.144
wifi.starbucks.com                                 d2r4ws0dmq227b.cloudfront.net                                 IP13.33.169.117,13.33.169.93,13.33.169.106,13.33.169.52
test.parity.starbucks.com                                 ap-parity-test-01.apigee.net                                 IP35.161.131.167,52.27.222.78,54.187.40.187
trace-api-psdev.starbucks.com                                 s00174apmw2gtwyps.azure-api.net                                 IP52.191.138.116
s03-tm.productioncontroller.starbucks.com                                 s00175tms03.trafficmanager.net                                 IP40.118.171.199
wfmnaposdv.starbucks.com                                 s00149tmpdvpos.trafficmanager.net                                 IP40.86.96.177
trace-api.starbucks.com                                 s00212apmw2gtwyprod.azure-api.net                                 IP52.183.127.32
certcrmpospa1.starbucks.com                                 certcrmpospa1-starbucks.nssb-oracle.com                                 IP144.23.238.205
prod.parity.starbucks.com                                 ap-parity-prod-01.apigee.net                                 IP52.41.176.121,52.11.19.3,54.213.205.28
